FeatureID,FeatureName,ContentTypeID,ContentTypeName,IsDocumentSetContentType,SolutionName
{4EBF6325-ABE7-4097-847E-FC3263F8EDC1},"$Resources:VideoRibbon,videoplayer_featurename",0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF39004AE81CF920B14EF08586A40375293415,$Resources:contenttype_name,False,aviva.oneintranet.solution.web.wsp
68458954-c00b-436f-99dd-9c8b6dec97b1,ContentTypeUsageTesting Feature1,0x01007F771F25B12C41FBBA27540978FF0E2E,CTUsage,False,contenttypeusagetesting.wsp
9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,0x0101000728167cd9c94899925ba69c4af6743e,Financial Document,False,contoso.contenttype.wsp
9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,0x0101000728167cd9c94899925ba69c4af6743e01,Invoice,False,contoso.contenttype.wsp
9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,0x0101000728167cd9c94899925ba69c4af6743e02,PurchaseOrder,False,contoso.contenttype.wsp
9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,0x01003A8A3BA2226E44C79C6F074E06C446E7,PersonalInfo,False,contoso.contenttype.wsp
9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,0x0100A0472AC58DBC4712B904F87C68C3DB4D,NoChoiceColumn_Item,False,contoso.contenttype.wsp
9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,0x0100253FB81B191B4A1EBBB5A2CD1F394AAB,TestContentType,False,contoso.contenttype.wsp
9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,0x0100E63C6295389443FDA75BA0DED08BFA2E,OverwriteContentType_Item1,False,contoso.contenttype.wsp
9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,0x0100B7141ED0D28449EFA557F1CD60D4D561,OverwriteContentType_Item2,False,contoso.contenttype.wsp
7e2ab32f-6903-44b9-affc-8f31360bfbbb,Contoso.Intranet - Site Default Publishing,0x01010002CB55784047481FA81FC315856D4A41,Contoso Document,False,contoso.intranet.wsp
7e2ab32f-6903-44b9-affc-8f31360bfbbb,Contoso.Intranet - Site Default Publishing,0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF390064DEA0F50FC8C147B0B6EA0636C4A7D4008FCDC60EFAAD413DA3C18434003726F5,Contoso Web Page,False,contoso.intranet.wsp
a3fed161-004e-4a9c-bb07-1966f27f2cab,Contoso.Intranet - Site Default,0x01010002CB55784047481FA81FC315856D4A41,Contoso Document,False,contoso.intranet.wsp
c2f9c992-99b0-4ee7-8e48-5d9949e77d3d,Contoso.Intranet - Web Default,0x010100C32DDAB6381C44868DCD5ADC4A5307D6,ContosoLibraryContentType,False,contoso.intranet.wsp
02464339-e494-4257-8018-403b5a4371d9,Contoso.Intranet - Web Default Publishing,0x010100C32DDAB6381C44868DCD5ADC4A5307D6,ContosoLibraryContentType,False,contoso.intranet.wsp
825bf18e-0efe-4b70-946b-a06bcef1dff3,CreateCustomPolicies - Declaratively create content types with Policies,0x0100ED6AA2E224D2E849AC3315D40378E039,ItemWithPolicy,False,createcustompolicies.wsp
825bf18e-0efe-4b70-946b-a06bcef1dff3,CreateCustomPolicies - Declaratively create content types with Policies,0x0100DF74589D2B51A040A5E5534BEA9ACDB2,ItemWithAuditingPolicy,False,createcustompolicies.wsp
825bf18e-0efe-4b70-946b-a06bcef1dff3,CreateCustomPolicies - Declaratively create content types with Policies,0x010060C34C5995B20A45BB7B90E7829B53BC,ItemWithPolicies,False,createcustompolicies.wsp
825bf18e-0efe-4b70-946b-a06bcef1dff3,CreateCustomPolicies - Declaratively create content types with Policies,0x0100C1B4F77D0FCBD34B8CFC8AC9C4841818,ItemWithPolicySchedule,False,createcustompolicies.wsp
154b106b-c811-4595-b3cf-245060b884f7,CTDemo Feature1,0x010022419777AE944B2EB219E1B6E0D75C62,CTDemo,False,ctdemo.wsp
5d6bc4d7-16bf-4e9a-9006-cfd14b9f27fb,CTFromFTC Feature1,0x010098E8FFD18F1D4129AF413611213EDECC,CTFTC1,False,ctfromftc.wsp
