ContentDatabase,DeleteTransactionId,IsCustomized,PageLayout_AssociatedContentType,PageLayout_Name,PageLayout_ServerRelativeUrl,SiteCollection,SiteCollectionOwner,SolutionName,WebApplication,WebUrl
Portal_Content_01,0x,False,News Article~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF3900242457EFB8B24247815D688C526CD44D00D83B722D3EE241439E7B87D673A55936,NewsArticlePageFull.aspx,/sites/VK113055/_catalogs/masterpage/NewsArticlePageFull.aspx,https://intranet.poc.com/sites/VK113055,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/VK113055
Portal_Content_01,0x,False,News Article~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF3900242457EFB8B24247815D688C526CD44D00D83B722D3EE241439E7B87D673A55936,NewsArticlePageSimple.aspx,/sites/Publishing/_catalogs/masterpage/NewsArticlePageSimple.aspx,https://intranet.poc.com/sites/Publishing,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/Publishing
Portal_Content_01,0x,False,News Article~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF3900242457EFB8B24247815D688C526CD44D00D83B722D3EE241439E7B87D673A55936,NewsArticlePageSimple.aspx,/sites/testv/_catalogs/masterpage/NewsArticlePageSimple.aspx,https://intranet.poc.com/sites/testv,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/testv
Portal_Content_02,0x,False,Contoso Web Page~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF390064DEA0F50FC8C147B0B6EA0636C4A7D4008FCDC60EFAAD413DA3C18434003726F5,ContosoWelcomeLinks.aspx,/sites/HariEdoc1/_catalogs/masterpage/ContosoWelcomeLinks.aspx,https://intranet.poc.com/sites/HariEdoc1,N/A,contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/HariEdoc1
Portal_Content_02,0x,False,Contoso Web Page~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF390064DEA0F50FC8C147B0B6EA0636C4A7D4008FCDC60EFAAD413DA3C18434003726F5,ContosoWelcomeLinks.aspx,/sites/TestContosoTeamSite_bckup2/_catalogs/masterpage/ContosoWelcomeLinks.aspx,https://intranet.poc.com/sites/TestContosoTeamSite_bckup2,N/A,contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/TestContosoTeamSite_bckup2
PPE_AppsManagementSite_content_01,0x,False,Contoso Web Page~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF390064DEA0F50FC8C147B0B6EA0636C4A7D4008FCDC60EFAAD413DA3C18434003726F5,ContosoWelcomeLinks.aspx,/sites/TestContosoPublishingSite/_catalogs/masterpage/ContosoWelcomeLinks.aspx,http://001d-cam-tap01:8899/sites/TestContosoPublishingSite,N/A,contoso.intranet.wsp,http://001d-cam-tap01:8899/,http://001d-cam-tap01:8899/sites/TestContosoPublishingSite
Team_Content_01,0x,False,N/A,ContosoWelcomeLinks.aspx,/sites/RashTeamSiteOne/_catalogs/masterpage/ContosoWelcomeLinks.aspx,https://teams.poc.com/sites/RashTeamSiteOne,N/A,contoso.intranet.wsp,https://teams.poc.com/,https://teams.poc.com/sites/RashTeamSiteOne
Team_Content_01,0x,False,Contoso Web Page~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF390064DEA0F50FC8C147B0B6EA0636C4A7D4008FCDC60EFAAD413DA3C18434003726F5,ContosoWelcomeLinks.aspx,/sites/PMTTestPSONE/_catalogs/masterpage/ContosoWelcomeLinks.aspx,https://teams.poc.com/sites/PMTTestPSONE,N/A,contoso.intranet.wsp,https://teams.poc.com/,https://teams.poc.com/sites/PMTTestPSONE
Team_Content_New,0x,False,Contoso Web Page~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF390064DEA0F50FC8C147B0B6EA0636C4A7D4008FCDC60EFAAD413DA3C18434003726F5,ContosoWelcomeLinks.aspx,/sites/DocSiteSC/_catalogs/masterpage/ContosoWelcomeLinks.aspx,https://teams.poc.com/sites/DocSiteSC,N/A,contoso.intranet.wsp,https://teams.poc.com/,https://teams.poc.com/sites/DocSiteSC
Team_Content_New,0x,False,N/A,MyFirstPageLayout.aspx,/sites/TestCustomPageLayoutsVidhi/_catalogs/masterpage/MyFirstPageLayout.aspx,https://teams.poc.com/sites/TestCustomPageLayoutsVidhi,N/A,pagelayoutdeploy.wsp,https://teams.poc.com/,https://teams.poc.com/sites/TestCustomPageLayoutsVidhi
